title,price,price_text,currency,price_usd,condition,metal_item_page,purity_item_page,weight_item_page,length_item_page,url,brand,metal,metal_url
,,,,,,,,,,https://www.ebay.com/itm/306520927289?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HA68YMA34HNKQGCKF&hash=item475e122c39:g:eXcAAeSwlXdo2PRc&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cl6B3YKhlfIAW5ii3Yg3fWnXpoiua%2Bkwgi2ajetGky43zdwaF1zHu43gBsiBR1FF9vdjXmlCG%2BodSTMENtgJlNEJJIvDAntjqnZu1m%2Fd9ec3IE4uLq%2B%2Fhl9oqx%2BRh6fjOkuU2Iy6tg9M4%2BDmbWR2oRs8U6xiBbZGNynRjuTXpT3pU2AHogD3ofwSEgmzR2X%2FkrADlKlijnFOQhzxBT%2F4TfqdZP3HS4I4VUpOBbVQcghjwlTRkiDgYOQhD6pHxbhAciqAVujcHCDEIlUYgeVnLq%7Ctkp%3ABk9SR9TUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/167810252197?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H6AH03Z7TH0JCBM8W&hash=item2712453da5:g:IpQAAeSwICpo0dhw&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fWN36KpFKU0ca%2FqxtQpVmgoT87eRYwIIcFxXaMmC1R%2FZbjibcSEds5%2Fuw%2FKlUgphzL7rvWrP5FUJVbzNFXokkXeLgo%2Biy%2B48g1VDp1qEYuHLVEmAkKLzXCAYGn2SfbCT0C2YjJhtiVlLQwL6trlG2GhX9yoGl7enzPB%2B77z932AWb9kwAuPpJ9fQ8KiUKd2vskwUvSmr%2F3XHxqalG1xtU%2FNOGAWegGRAp6Zzen38Lxf2qlhxgdDFQErJvECsVgir--n9AWRIxG9vDxyJsdZgWTLMIoblzdeUmJD%2B2ytbdozd8fnjlhHEsLcZ2PF25YtkE%3D%7Ctkp%3ABk9SR9jUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/177437296022?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H5RHA4ZRWA72R1CQD&hash=item2950164596:g:0NQAAeSwud1o1HY9&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1dfGGvpUwS7x5rp3T286eAsEGsT%2FuX%2BZh%2F%2B9XoNzgbVzQ22Io4rkBu4VHYDuxRcH6af4RzWDYYuq4pmElamBzHS%2BZBs1DmAIqLY6Zjpqj0xBlabk0THFUG%2FqXMOU%2BqUTba07gRxidOKYev0HXeQ0%2B29IqSDqgvb%2BZccUnK%2BIbXFKw1MBOdvz6b%2BrqkhQTb7XoThD9HA9J7idJwfSfGkcxEnNzuXrJV5RIxlyX5WGZsgZub59lOUmTJVu1nJN8cOINvxA2RfJ%2B6VPeDpw2SXgItnkdBBokSYkm2OxgG3rjt2cTw6hNq9C6pm3CwW4Uw23F0%3D%7Ctkp%3ABFBM1NSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/177436857434?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HMVF6Y4770928FABR&hash=item29500f945a:g:x4wAAeSw6PJo1DVy&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fAlS3%2F1QI9rfGm7XSZ5ggFZuXH3PgEcM5Hr7Wum6n3kdZPG7um7lMBCLygwu7B2eKYQtE7lJ%2BbzD9JcZKCaOd%2FYW%2FzkHYlpgTQrylsHMKC0fAPqsOHlIxPhZnRGJQiPSDKvuif8V2z8Jg%2FmND3WwFThETpkAdUWm5LQdGluJsIgMo0%2FkSWSbVW5BiOJu6zkPtN0Uq%2FqxokfUFZqOqwWjhtrtLscFB0ARpJChzz3cEDHlvnwvJrze2jlMBirWP2BaZYYEubkCqcFdvNoMf6y1x8%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/177416261727?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HWXYJWA1Q3C2BEAZ3&hash=item294ed5505f:g:HngAAeSwF5ZoyPPV&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1crDp3e56qDt%2Br6%2FMv5PjKhr3L%2F%2B5D8beTI1R6JC4hBAioHFh%2FFcoKK8saIvfYySZ9RlZ75wUZUCkhPN695Cs87gwJf5aNmB%2Fx5WY0ddJc%2ByRh0lUy1N9xksZhXwVKlacCkYRT3fhKM89wpk86GAHzOqrGJ088YGk1%2BXK%2Famn2s0taSInySKpn2%2Bjhkl1ZwFhjRY1pfKaJUF2FQ4CKTuANLtWAmXND%2Bu37gzxe0rv790ICn6kc7s28IYG5u%2F5YzmcMXc3xPTVMO37hGMTJe9eiGEkBYsS6Fwfno2zTiOL8IjdeD3DOepTGSUhn5cyC06ks%3D%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/146832459915?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H726W8M8SECHCXABZ&hash=item222fe5888b:g:yHcAAeSwRAZoxzOc&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1eO0CNbHnuqkJ01r9ENHTvkYgNGrA8t0sxSFCMamrN9w6gBpKz5zJZ9ZHETd6dnMjg0%2FqIVSLiQxZdwyLxachvYc0sWwn4yyoggfyMg6FM8yHotf2AsvLmlEWDWsFOgzJbq7lFEuJ8a9s1YwxH3GeOiPgAwlG%2Fa84RmzpWHxcljl7UsCi0ViGyV959jRgmeM0MV9a%2F9zcVZPvz9aYH7lQJHDD%2FJP7Yv1ew1pM8y67A%2Fw0%2B7ayxbNZP%2FhwTwKnNKTHpd1uYf%2BXFfJoHHU8OlNva4hRL5s0QUNO3F08lb2sSSgVlGBDUn%2F%2BAqNmr9l7d0ncM%3D%7Ctkp%3ABFBM0tSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/277395747465?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H7MJVKCPVVEE9CT6T&hash=item4096133289:g:-7MAAeSwZCVo0Eem&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1enISK0tqxnF4TAWMp6vD2IESFEpmyMjivKp1DMpQ3lmSWqjq9lzoheGsIAimRmqANJmGmSsS%2BCfKh3PURrRF%2BeKlAse%2FbL%2F2t4vNt5bCaaYpQFSF1kOiIqBeKGv4VyLQPHtPlviauegahw%2FLtAsfk30gBThI4Fb9bLV5Q0kra0LCPLRbiF%2F18Z4B%2Bka2qkXsMHgjTNsDgiukbCJeDtsUkmH8blCnDTMcaH2he%2FT1ZdOB0qKfyXfjAPby05g%2FF%2FxTTd0CWO9UJAUL9IupaJEU3o%7Ctkp%3ABk9SR9TUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/177347741964?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H8F5K355A6S4K66J4&hash=item294abfc90c:g:92oAAeSwkspoo0PB&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cOWF88KkooclCNbv0Np6KmVnZONf3FQEAJMcekvrrFsjw624R6LQqokNQw2ZAMaAF%2FKw3cbAHqAmfy7bqQ61qIgo0HxSpfUaSt68kAlv0cMOiD6EIMO%2FPirSIelKJ3ezjLoSsmXcoXNp5dcteesPhPmaQ50qTt0lnMy3Bax0drOVK3yCXfu%2Fex9B35yRQl5s8XiRUdn5biQ5Us94gKcXhZ0ejueXna0oUzGhUfAC0%2FujSEA7OCfvZTKTLKL%2FVmBziwPJWFC7tpILxtiVdJjmso%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/306505497717?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HR1XVE2QMZS54BJP1&hash=item475d26bc75:g:YOYAAeSwMqRozHYS&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cY0heKYV6gJciu%2BNK388HHoVMYTmCWkXrFFr6i0OMNveRlRF46oVeerEgY5D0vaEvWa7vGs8gNePlPNpQm5PD97J9wFqyevu%2BJ5IlOeOGmcTEVnzS6SXq3DvUXjRu5ems9a168TMjhuYUON%2BMhmn21obTCYWzJfavZjnMivZOBm7D2BGF9l%2F8mrU6nT9ArNhQ6KjcBYD1WviNsONSR3yeFbMwgqw6dF3JMf8iWKe2kfPhJK70%2F1xUnQabhVKXYhrL7UCm%2Bd4YwR7%2F971gmWg9hc33NGI5NzqaH0JMVfWsIwlP3QdOz3oAdfrp2mhHgPRk%3D%7Ctkp%3ABk9SR9TUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://www.ebay.com/itm/205746508510?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HHXZQZ6ZZD0C2BNWT&hash=item2fe77292de:g:54EAAeSwNVRo1cGM&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fSPQ9P3sIaHbbpbEDE%2B%2F%2Byp6LxPYm5d3mXnBgdLKmTtsYVvCgwpUuDzQkZ%2FKvmgus3lM%2FFxOn7J9olm%2FN0bMvA4njiG%2FwXFikFElAAw7UnBB5nN5Sw3Pr11j7zrPzE5hoMD0MYwl84%2FEhdYdk3FnVz62PNnNd9%2Fx%2BZ%2B%2B31LIcR%2BY%2BjlOlqZZrhAAoG23INWCEppYpahsriAB102uc3LuEASdLFKhrshjf1XWgzTK9otDulUb4CmbCdPGX4O9rAJaLbYLelyR5o1SGq2MaT8rXjkY5%2BDjI8DKU4P0mHu1jGGS9hJDkPvyUxPSlXBb7vHdE%3D%7Ctkp%3ABFBM0tSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
