title,price,price_text,currency,price_usd,condition,metal_item_page,purity_item_page,weight_item_page,length_item_page,url,brand,metal,metal_url,item_id,condition_clean,item_type,purity,weight_grams
Tiffany & Co. Heart Pendant Necklace Blue Enamel Sterling Silver 925 gift set,66.0,US $66.00,USD,66.0,New without packaging New without packaging More information - About this item condition,,,,,https://www.ebay.com/itm/257130342734?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGXWMG6NTD70BVS9WV8&hash=item3bde29a94e:g:kkcAAeSw3B5otuiC&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cdtsGBO9F99gTu4g9GMYh5BUaRpp2zrFJTlBsoAjER7HLsA2UtATSSpPkI1HsdSSbB95EWTJGwrh%2BfHn6tdFarO71qcH0Fp4lnMs8AI6hu6CAZQgdMLsWDGJ4W%2B2NnCy%2FY6bVJKdu62ha2b4u%2FZyJo3FyZBG3uE6IwD5c8qdxMDbM9omFZv1ojfZiCrda%2F3xeG62OoaMMS0Sn8xnOZJ45%2BJ6CRt1S37567rW67VqCaSvMJNJmWGlJ31v3wHj85zkYWubfwC5jHZ4VcjgMeSweq%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,257130342734,New,Necklace,Sterling Silver,
Love Tiffany Blue® Heart Earrings,189.0,US $189.00,USD,189.0,Pre-owned - Excellent Pre-owned - Excellent More information - About this item condition,,,,,https://www.ebay.com/itm/376584840205?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGX5CGB9ZG3Q08CK6ES&hash=item57ae34a40d:g:eA8AAOSw6QpnLzvb&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cDC8u8hxtzkEr4Jil4j1EMcdKrrDwZdDC0SVzcbVlCangdaUg7iebZWWuzxl%2FWHTICQC9pFVCZuQsIsy%2FfUCfKLnM88XqPp3Ac%2FCdhpdN%2BhjN3teTcO3zUvV27%2FkMThf4kP0whVuOVxcQUtsQvA%2FMcDVL05ZGXkMEGc7cT9Ke%2FCasIa9Vv8AAn1luzGPuxshgMWD9%2BrdzXDX2P0hmiXlC7hPG5qQ3wJIia0N0Q0I9PS7f9VznPyXpLHQxR3P%2B3HMAXXkVVFRPU9t4GrPnF9z4ZulH%2BEt3iE3oUTMo4ucu%2B3E9X0HOeUwsTiTuiqZzr3Hk%3D%7Ctkp%3ABFBM-Jizw7Nm,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,376584840205,Excellent,Earrings,Sterling Silver,
Return Tiffany Co LOVE Blue Heart Sterling Silver Mini 11mm Heart Stud Earrings,229.99,US $229.99,USD,229.99,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/286830144288?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGX9EJTZ8DQZB4FA5PR&hash=item42c868ab20:g:CqgAAOSwmDRoRbyT&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fblnX3dQJ6BoyWDieHC73i4rRR2Yd1GWUW%2FNOgNoPoUxh1QkmTUcEY9PyceSSfVCk90oVZTdm20QckUHczcMA9EH13DLUbdvPj7rpjzGXTMkBLMvqvdFERQV0rmn46MKQhzX7bFMATizn5nQDpuUCIxgIfgddBvbRQvn7rn2f9tSPvLhhHHkHl0uEIqnzQXDcGUbNwBrO2C4MEYJ8i5DZ%2FIrv%2FctDHZh79arY%2BxQmf0eDagAGlJ7bsgjKo6JUraYhp6U%2BaXftTuMI%2FofGwtiGOFOrnrIAKE4rvDZjQaPVoIwnYt%2Fu9MBJzNGrPSxBh2BM%3D%7Ctkp%3ABFBM-Jizw7Nm,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,286830144288,Good,Earrings,Sterling Silver,
Please Return To Tiffany & Co. Mini Heart Sterling Silver 10mm Stud Earrings FZZ,160.0,US $160.00,USD,160.0,Pre-owned - Excellent Pre-owned - Excellent More information - About this item condition,,,,,https://www.ebay.com/itm/236295506315?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGXQN2TREAVRSTZ8G74&hash=item37044f498b:g:qc0AAeSwHwFosSUU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dgQvo8bYqwzYTuYoKkM7aZkAzSoThOlp174UMR4VIdtIdEZmVDkG0XIOvkgPebCiLUGoHP7Bd7nvBGUdFl%2BdbUD9oSo69NAnf8DprjB1zz3t4ltx0LT7Sw0XsARbCHKZNjgPMZl%2FpG8Elth9RZGcZrY7lVQS0iqLHhD9dOxDMl%2BHMVMEu6lmSZ8kHZMpFr2jzZlnqePhM%2BSViE%2Blx4y9pXAwPIY54QeV4jfjIVHOGPxYLz1vHb%2B8dvt1I0a8%2B5pywLzc55i21P26zwz4lDssVu%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,236295506315,Excellent,Earrings,Sterling Silver,
Tiffany & Co. Sterling Silver Elsa Peretti Open Heart Stud Earrings,110.0,US $110.00,USD,110.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/406250343420?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGXW4KGD4C1E9T3HWHT&hash=item5e96684bfc:g:CtIAAeSwQnpo2oiQ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d%2BhcZR0TTQsyOZlbOOEjKEMCFaE6ujpQds4cEnEkVtrQ99noW2jjnR%2BZO5YptFhkmI23ZJtkaOF6%2Br7FTWca5KiCV4LYHpRmaioSzeERTscc2lpEouKVNMja3ySxW1eBOJCHQE3%2F8xtcA1wPdoT2Sud%2F4JcbF3r0WWPhHfQ74IwQSXu0W2yD7d03WRYn1k4%2BDcd92IuGSJ%2Fq6duM5kvfTIYxswpzrUIlEUeI7fW61W3CKAf1QthBZOKIxqdIi8URmNaGpRwTEKYynmGRfvcJic%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,406250343420,Good,Earrings,Sterling Silver,
Tiffany & Co. Sterling Silver Return To Tiffany & Co. Heart Pendant and Necklace,170.0,US $170.00,USD,170.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/267421344695?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGX43XVK1ZNRB2Z512C&hash=item3e438de3b7:g:G5UAAeSwkbto2~Wg&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1d%2BeoKNNtUVoUPwEexYzRWNqSSGWFo4OiPkGKwUB%2FSS3mkiZQIE4p88wQUGPfGOe6y4Y4r0Zu6G2Ho7EuVTdVVVrQigkE1yLpstT5QCze%2BQpgq0SumgEiTLO3fAxIqU1MhVGJeIj1aE8jaEtnmp9f1pdlvEIfDzxtMHcIqP%2FDnYKhd18QQ5t9NBC2o%2F3H5soN71eloFMB62TwfyNJaqUgqpL%2B%2B%2BtitzrBlAaOGgbZVI%2FB9RJLJmwIMlBR7PfbZuV9lI2QbmzIyBI1%2BVTO3d3HZ0huQhAXyRZ4qABhWlgbmNoeyviYeY5yl31D8UJ9TMbr4%3D%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,267421344695,Good,Necklace,Sterling Silver,
"Tiffany & Co. Sterling Silver 925 Teardrop Hoop Pierced Earrings 1"" - 5g- READ",62.0,US $62.00,USD,62.0,Pre-owned - Fair Pre-owned - Fair More information - About this item condition,,,,,https://www.ebay.com/itm/389033432904?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGX5B2RPB3JQ80Z4ZA3&hash=item5a94331748:g:idMAAeSwdhpo25gc&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1dLb8kcyzgvImVwfjvEXMrx5nAL0sD4QcGUjhNSBqCl9cIuogotvZVFE2CosoFG5Ji5T9BjqsonQ3e6Vy7qhde0hks97IlAMWvezx0AI1r10sZT8vAMk2lysDElyEPfwxhZo7EudFTol2ZGd0z3E3z%2FsokD6488PDEcdBsz17eVRwAsodTczhHnDx63iV6qJItrWRa%2FiThfGQ44vh%2BkouCUMyKWi218thhxVXINakFAwt0K%2FdSsXyPPwnV0wZ3ARI3ThBznILKhsggQbxqG8WD158ujvVmBPNdP%2BK4qLs3a2as%2BinMH9QXUsFlSdRMGE8o%3D%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,389033432904,Fair,Earrings,Sterling Silver,5.0
"36"" Tiffany & Co. Sterling Silver Venetian Box Link Chain Necklace 78.5 Grams",959.99,US $959.99,USD,959.99,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/256750051985?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGXBJXQS95JYAZXNN8F&hash=item3bc77ee291:g:zu8AAOSwShJnRA8s&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cBWoF84kz3Iy1rP2PsiP8MVJn0AA92G7vAlRulj9fUN7T1Wwo8ifpOSBQTPDiXmdByKm%2Fsr6ADgevaGshHqiwT81x9Z%2FF3Y51hLXEsxA2CVc%2F2vjBVdrDnWVPWMAu4bf%2FQ%2BZzn6H0EIsPw%2Bs%2BSWy291qHlJa%2F6%2F8F5OAYhfnMMLvAj0W1sMj%2BYhI6QkgLdC9mjpFIbmmo%2BArkfF1dLWTPlv25HifxpmAS2RZVsyaZYeG3ACSa3mDCKviYNGnCrTdNGVdxcFZAS3tMmZfFVMQJY%7Ctkp%3ABlBMUPiYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,256750051985,Good,Necklace,Sterling Silver,78.5
Tiffany & Co. genuine Sterling Silver Eiffel Tower Charm Pendant,179.99,US $179.99,USD,179.99,,,,,,https://www.ebay.com/itm/257635098859?_skw=Tiffany+%26+Co.+%22Silver%22&itmmeta=01KY5WKW3P79EN2WW0YHKA5N2D&hash=item3bfc3fa0eb:g:KRkAAeSwraVqX~Ft&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDFaPJMRvdmmk%2Fnas41CUhmmT2F3FFT4y3D7ZUMgBI9OmAFKIPD5bmxapuY6XqIZg5Gz%2F7SCfGSdydDMojvxhLi3cnp6eTa%2B3d8MVewE6N6eZWhQx7PtLuqIAjyFs0liDA48SykxrvKCJ7ho7%2BjJsX4dVmE4WkgFWRNrWNzbFKnQ%2FmLyakH99gCfJFSovuRL0WZs6fQma77rJo%2BkvBe0IcOTCtCbFiwEeuigtVH74g4Bg1%2F8oXg5BXsXkzSOKdeG8kLRhiWvQ4fgzuGQ0NpvLT6iqEMxubROwfhcXM%2BdtS5Xw%3D%3D%7Ctkp%3ABk9SR57Cz7zxZw,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Silver&mag=1&rt=nc,257635098859,,Pendant,Sterling Silver,
🔥✨ Tiffany & Co Sterling Silver Peretti Heart Pendant & Bracelet 🔥✨,224.0,US $224.00,USD,224.0,,,,,,https://www.ebay.com/itm/287408200613?_skw=Tiffany+%26+Co.+%22Silver%22&itmmeta=01KY5WKW3N0DVXQHQC3YGGH75F&hash=item42eadd1ba5:g:XXEAAOSwtYlnGXta&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAob8LtN9lKzGWu6p48FUJ6e%2FaxIPpy7TkPTBbKenFtX%2FL0%2Fckw7ggTpk4VgYbars%2B8TBEqfRl1AMsKtFcLGTGiaAZpSECFBL%2B7NUd5%2BWjSnLdofIGhybg3uE4vBYWQmMQty0PL8CWQIxh8WvJLUxRkIygTFYk6FgwRIxRw0fKxiXxAPPizZghHcYvpeYOzBeSAfgKKMwqCE%2FkRY%2FMyYgRa6NP709THIVxcsjApk%2FAYEKlp67OZ%2BgxbICpRX21sJIscw3OxLLMhwyqQNXjMT32d%2BsHP7qBXN8D3S8B0ifWaOQ%3D%3D%7Ctkp%3ABFBMnMLPvPFn,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Silver&mag=1&rt=nc,287408200613,,Pendant,Sterling Silver,
